NR_REF;POSTO_GRADUACAO;QUADRO;RACA
210;TEN CEL ;QOPM;BRANCO    
211;TEN CEL ;QOPM;BRANCO    
212;TEN CEL ;QOPM;PARDO     
213;TEN CEL ;QOPM;BRANCO    
214;TEN CEL ;QOPM;PARDO     
215;TEN CEL ;QOPM;BRANCO    
216;TEN CEL ;QOPM;PARDO     
217;TEN CEL ;QOPM;BRANCO    
218;TEN CEL ;QOPM;BRANCO    
219;TEN CEL ;QOS ;BRANCO    
220;TEN CEL ;QOS ;BRANCO    
221;TEN CEL ;QOS ;BRANCO    
222;TEN CEL ;QOS ;BRANCO    
223;TEN CEL ;QOS ;BRANCO    
224;TEN CEL ;QOS ;BRANCO    
225;TEN CEL ;QOS ;BRANCO    
226;TEN CEL ;QOS ;BRANCO    
227;TEN CEL ;QOS ;PARDO     
228;TEN CEL ;QOS ;PARDO     
229;TEN CEL ;QOPM;AMARELO   
230;TEN CEL ;QOPM;BRANCO    
231;TEN CEL ;QOPM;BRANCO    
232;TEN CEL ;QOS ;BRANCO    
233;TEN CEL ;QOPM;BRANCO    
234;TEN CEL ;QOPM;BRANCO    
235;TEN CEL ;QOPM;BRANCO    
236;TEN CEL ;QOPM;NAO INF.  
237;TEN CEL ;QOPM;BRANCO    
238;TEN CEL ;QOPM;BRANCO    
239;TEN CEL ;QOPM;PARDO     
240;TEN CEL ;QOPM;PRETO     
241;TEN CEL ;QOPM;PARDO     
242;TEN CEL ;QOPM;PARDO     
243;TEN CEL ;QOPM;PARDO     
244;TEN CEL ;QOS ;BRANCO    
245;TEN CEL ;QOPM;BRANCO    
246;TEN CEL ;QOPM;BRANCO    
247;TEN CEL ;QOPM;PARDO     
248;TEN CEL ;QOPM;PARDO     
249;TEN CEL ;QOPM;PRETO     
250;TEN CEL ;QOPM;BRANCO    
251;TEN CEL ;QOS ;PARDO     
252;TEN CEL ;QOS ;PARDO     
253;TEN CEL ;QOPM;PARDO     
254;TEN CEL ;QOPM;BRANCO    
255;TEN CEL ;QOPM;BRANCO    
256;TEN CEL ;QOPM;BRANCO    
257;TEN CEL ;QOPM;BRANCO    
258;TEN CEL ;QOPM;PARDO     
259;TEN CEL ;QOPM;BRANCO    
260;TEN CEL ;QOS ;BRANCO    
261;TEN CEL ;QOS ;NAO INF.  
262;TEN CEL ;QOPM;PARDO     
263;TEN CEL ;QOPM;PARDO     
264;TEN CEL ;QOPM;PARDO     
265;TEN CEL ;QOPM;BRANCO    
266;TEN CEL ;QOPM;PARDO     
267;TEN CEL ;QOPM;BRANCO    
268;TEN CEL ;QOPM;PARDO     
269;TEN CEL ;QOPM;PARDO     
270;TEN CEL ;QOS ;PARDO     
271;TEN CEL ;QOS ;PARDO     
272;TEN CEL ;QOS ;NAO INF.  
273;TEN CEL ;QOPM;PRETO     
274;TEN CEL ;QOPM;PARDO     
275;TEN CEL ;QOS ;PARDO     
276;TEN CEL ;QOPM;BRANCO    
277;TEN CEL ;QOPM;BRANCO    
278;MAJ     ;QOPM;BRANCO    
279;MAJ     ;QOPM;PARDO     
280;MAJ     ;QOPM;BRANCO    
281;MAJ     ;QOS ;BRANCO    
282;MAJ     ;QOS ;BRANCO    
283;MAJ     ;QOPM;PARDO     
284;MAJ     ;QOPM;PARDO     
285;MAJ     ;QOPM;AMARELO   
286;MAJ     ;QOPM;BRANCO    
287;MAJ     ;QOPM;BRANCO    
288;MAJ     ;QOPM;PRETO     
289;MAJ     ;QOPM;BRANCO    
290;MAJ     ;QOPM;BRANCO    
291;MAJ     ;QOPM;BRANCO    
292;MAJ     ;QOPM;PARDO     
293;MAJ     ;QOPM;BRANCO    
294;MAJ     ;QOPM;PARDO     
295;MAJ     ;QOPM;BRANCO    
296;MAJ     ;QOPM;PRETO     
297;MAJ     ;QOPM;PARDO     
298;MAJ     ;QOPM;BRANCO    
299;MAJ     ;QOPM;BRANCO    
300;MAJ     ;QOPM;PARDO     
301;MAJ     ;QOPM;PRETO     
302;MAJ     ;QOPM;PARDO     
303;MAJ     ;QOPM;PARDO     
304;MAJ     ;QOPM;BRANCO    
305;MAJ     ;QOPM;BRANCO    
306;MAJ     ;QOPM;PRETO     
307;MAJ     ;QOPM;PRETO     
308;MAJ     ;QOPM;PARDO     
309;MAJ     ;QOPM;BRANCO    
310;MAJ     ;QOS ;PARDO     
311;MAJ     ;QOPM;BRANCO    
312;MAJ     ;QOPM;BRANCO    
313;MAJ     ;QOPM;BRANCO    
314;MAJ     ;QOPM;PARDO     
315;MAJ     ;QOPM;PARDO     
316;MAJ     ;QOPM;BRANCO    
317;MAJ     ;QOPM;BRANCO    
318;MAJ     ;QOPM;BRANCO    
319;MAJ     ;QOPM;BRANCO    
320;MAJ     ;QOPM;AMARELO   
321;MAJ     ;QOPM;PARDO     
322;MAJ     ;QOPM;BRANCO    
323;MAJ     ;QOPM;NAO INF.  
324;MAJ     ;QOPM;BRANCO    
325;MAJ     ;QOPM;PARDO     
326;MAJ     ;QOPM;BRANCO    
327;MAJ     ;QOPM;PRETO     
328;MAJ     ;QOPM;PARDO     
329;MAJ     ;QOS ;BRANCO    
330;MAJ     ;QOS ;BRANCO    
331;MAJ     ;QOPM;PARDO     
332;MAJ     ;QOPM;PARDO     
333;MAJ     ;QOPM;BRANCO    
334;MAJ     ;QOPM;BRANCO    
335;MAJ     ;QOPM;BRANCO    
336;MAJ     ;QOPM;PARDO     
337;MAJ     ;QOPM;BRANCO    
338;MAJ     ;QOPM;PARDO     
339;MAJ     ;QOPM;BRANCO    
340;MAJ     ;QOPM;PARDO     
341;MAJ     ;QOPM;BRANCO    
342;MAJ     ;QOPM;PARDO     
343;MAJ     ;QOPM;PARDO     
344;MAJ     ;QOPM;BRANCO    
345;MAJ     ;QOPM;BRANCO    
346;MAJ     ;QOPM;BRANCO    
347;MAJ     ;QOPM;NAO INF.  
348;MAJ     ;QOPM;PARDO     
349;MAJ     ;QOPM;BRANCO    
350;MAJ     ;QOPM;NAO INF.  
351;MAJ     ;QOPM;PARDO     
352;MAJ     ;QOPM;BRANCO    
353;MAJ     ;QOPM;BRANCO    
354;MAJ     ;QOPM;PRETO     
355;MAJ     ;QOPM;BRANCO    
356;MAJ     ;QOPM;AMARELO   
357;MAJ     ;QOPM;BRANCO    
358;MAJ     ;QOPM;BRANCO    
359;MAJ     ;QOPM;BRANCO    
360;MAJ     ;QOPM;PARDO     
361;MAJ     ;QOPM;PARDO     
362;MAJ     ;QOS ;BRANCO    
363;MAJ     ;QOS ;BRANCO    
364;MAJ     ;QOS ;PARDO     
365;MAJ     ;QOS ;BRANCO    
366;MAJ     ;QOS ;PARDO     
367;MAJ     ;QOS ;BRANCO    
368;MAJ     ;QOS ;BRANCO    
369;MAJ     ;QOPM;PARDO     
370;MAJ     ;QOPM;PARDO     
371;MAJ     ;QOPM;AMARELO   
372;MAJ     ;QOPM;PARDO     
373;MAJ     ;QOPM;PARDO     
374;MAJ     ;QOPM;PARDO     
375;MAJ     ;QOPM;BRANCO    
376;MAJ     ;QOPM;BRANCO    
377;MAJ     ;QOPM;BRANCO    
378;MAJ     ;QOPM;PARDO     
379;MAJ     ;QOPM;BRANCO    
380;MAJ     ;QOPM;PARDO     
381;MAJ     ;QOPM;BRANCO    
382;MAJ     ;QOPM;BRANCO    
383;MAJ     ;QOPM;BRANCO    
384;MAJ     ;QOPM;PARDO     
385;MAJ     ;QOPM;BRANCO    
386;MAJ     ;QOPM;PARDO     
387;MAJ     ;QOPM;PARDO     
388;MAJ     ;QOPM;PARDO     
389;MAJ     ;QOPM;BRANCO    
390;MAJ     ;QOPM;BRANCO    
391;MAJ     ;QOPM;BRANCO    
392;MAJ     ;QOPM;NAO INF.  
393;MAJ     ;QOPM;BRANCO    
394;MAJ     ;QOPM;BRANCO    
395;MAJ     ;QOPM;BRANCO    
396;MAJ     ;QOPM;PARDO     
397;MAJ     ;QOPM;PARDO     
398;MAJ     ;QOPM;BRANCO    
399;MAJ     ;QOPM;PARDO     
400;MAJ     ;QOPM;BRANCO    
401;MAJ     ;QOPM;PARDO     
402;MAJ     ;QOPM;PARDO     
403;MAJ     ;QOPM;BRANCO    
404;MAJ     ;QOPM;PRETO     
405;MAJ     ;QOPM;BRANCO    
406;MAJ     ;QOPM;BRANCO    
407;MAJ     ;QOPM;PRETO     
408;MAJ     ;QOPM;BRANCO    
409;MAJ     ;QOPM;BRANCO    
410;MAJ     ;QOPM;PARDO     
411;MAJ     ;QOPM;BRANCO    
412;MAJ     ;QOPM;BRANCO    
413;MAJ     ;QOPM;PARDO     
414;MAJ     ;QOPM;PARDO     
415;MAJ     ;QOS ;BRANCO    
416;MAJ     ;QOS ;BRANCO    
417;MAJ     ;QOS ;NAO INF.  
418;MAJ     ;QOS ;NAO INF.  
419;MAJ     ;QOS ;PRETO     
420;MAJ     ;QOPM;PARDO     
421;MAJ     ;QOPM;BRANCO    
422;MAJ     ;QOPM;PARDO     
423;MAJ     ;QOPM;BRANCO    
424;MAJ     ;QOPM;BRANCO    
425;MAJ     ;QOPM;BRANCO    
426;MAJ     ;QOPM;PARDO     
427;MAJ     ;QOPM;PARDO     
428;MAJ     ;QOPM;PARDO     
429;MAJ     ;QOPM;PARDO     
430;MAJ     ;QOPM;BRANCO    
431;MAJ     ;QOPM;NAO INF.  
432;MAJ     ;QOPM;BRANCO    
433;MAJ     ;QOPM;BRANCO    
434;MAJ     ;QOPM;BRANCO    
435;MAJ     ;QOPM;PARDO     
